epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.7687,3.04294,4.2182,4.17921,0.13449,0.19041,0.09043,0.02416,2.32547,3.60247,4.07933,0.00332656,0.00332656,0.00332656
2,143.806,2.39638,2.68845,3.15789,0.65646,0.66142,0.66685,0.38339,1.46077,2.07045,2.51628,0.00662693,0.00662693,0.00662693
3,210.932,1.57341,1.60981,2.26551,0.93477,0.87976,0.96147,0.67403,1.0533,0.92887,1.8706,0.00989429,0.00989429,0.00989429
4,282.037,1.15557,1.04411,1.80399,0.97473,0.98633,0.99358,0.83849,0.63945,0.67966,1.36155,0.0098515,0.0098515,0.0098515
5,350.143,0.96429,0.79735,1.58158,0.99145,0.98803,0.99475,0.83812,0.62313,0.4711,1.34142,0.009802,0.009802,0.009802
6,417.803,0.85796,0.67587,1.47478,0.98587,0.99345,0.99449,0.88077,0.52101,0.40871,1.18061,0.0097525,0.0097525,0.0097525
7,484.272,0.80476,0.62104,1.41756,0.97237,0.98185,0.9942,0.87781,0.50029,0.39931,1.15865,0.009703,0.009703,0.009703
8,551.63,0.77364,0.57492,1.38542,0.9919,0.99646,0.99498,0.89833,0.46907,0.36356,1.13952,0.0096535,0.0096535,0.0096535
9,620.634,0.74438,0.54495,1.35198,0.99218,0.96605,0.99023,0.89663,0.47058,0.37679,1.12539,0.009604,0.009604,0.009604
10,691.289,0.72436,0.52565,1.33387,0.98436,0.99286,0.99428,0.89812,0.47215,0.32856,1.14437,0.0095545,0.0095545,0.0095545
11,758.149,0.71336,0.50773,1.32131,0.9927,0.99514,0.9945,0.89829,0.45003,0.30624,1.12464,0.009505,0.009505,0.009505
12,825.313,0.68452,0.49424,1.29795,0.98939,0.9917,0.99471,0.90361,0.44283,0.32363,1.09057,0.0094555,0.0094555,0.0094555
